"","kingdom_final","phylum_final","class_final","order_final","family_final","genus_final","species_final"
"ASVp2_53","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis"
"ASVp2_54","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Ruminococcus_B","gnavus"
"ASVp2_55","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASVp2_56","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASVp2_57","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi"
"ASVp2_58","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp2_59","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli"
"ASVp2_60","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae"
"ASVp2_61","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_B","durans"
"ASVp2_62","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","diarizonae/houtenae/enterica"
"ASVp2_63","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Alitiscatomonas","sp900066535"
"ASVp2_64","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp2_65","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii"
"ASVp2_66","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp2_67","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii"
"ASVp2_68","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","lenta"
"ASVp2_69","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","sp902362275/sp902472315"
"ASVp2_70","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp2_71","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASVp2_72","Bacteria","Bacillota_I","Bacilli_A","Erysipelotrichales","Erysipelotrichaceae","Holdemania","filiformis"
"ASVp2_73","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","hathewayi"
"ASVp2_74","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp2_75","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens"
"ASVp2_76","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens"
"ASVp2_77","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp2_78","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron"
"ASVp2_79","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron"
"ASVp2_80","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","merdae"
"ASVp2_81","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp2_82","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii"
"ASVp2_83","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASVp2_84","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii"
"ASVp2_85","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","faecis"
"ASVp2_86","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","onderdonkii"
"ASVp2_87","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","merdae"
"ASVp2_88","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","hathewayi"
"ASVp2_89","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","sp005845215"
"ASVp2_90","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp2_91","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","massiliensis"
"ASVp2_92","Bacteria","Bacillota_A","Clostridia","Clostridiales","Clostridiaceae","Sarcina","perfringens"
"ASVp2_93","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","wadsworthensis"
"ASVp2_94","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp2_95","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis"
"ASVp2_96","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","sp016429285/insidiosa"
"ASVp2_97","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp2_98","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli"
"ASVp2_99","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli"
"ASVp2_100","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","diarizonae/houtenae/enterica"
"ASVp2_101","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","fermentum"
"ASVp2_102","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","lenta"
"ASVp2_103","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi"
"ASVp2_104","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Alitiscatomonas","sp900066535"
"ASVp2_105","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp2_106","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis"
"ASVp2_107","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp2_108","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp2_109","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","alcoholdehydrogenati"
"ASVp2_110","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp2_111","Bacteria","Bacillota_A","Clostridia","Clostridiales","Clostridiaceae","Sarcina","perfringens"
"ASVp2_112","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp2_113","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Pelomonas","saccharophila"
"ASVp2_114","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae"
"ASVp2_115","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis"
"ASVp2_116","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","longum"
"ASVp2_117","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","wadsworthensis"
"ASVp2_118","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","porci"
"ASVp2_119","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis"
"ASVp2_120","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis"
"ASVp2_121","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","fermentum"
"ASVp2_122","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","sp005502805/sp902506165/sp900185715/sp004341515/sp025846845/sp900112185/sp008253865/sp004123845/sp001556125/vestrisii/sp001748145/vaviloviae/sp900470095/sp000735605"
"ASVp2_123","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp2_124","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp2_125","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","diarizonae/houtenae/enterica"
"ASVp2_126","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","CHH4-2","sp018378255"
"ASVp2_127","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","sp902362275/sp902472315"
"ASVp2_128","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis"
"ASVp2_129","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron"
"ASVp2_130","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Hydrogeniiclostridium","mannosilyticum"
"ASVp2_131","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis"
"ASVp2_132","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis"
"ASVp2_133","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","adolescentis"
"ASVp2_134","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","NA"
"ASVp2_135","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","NA"
"ASVp2_136","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","NA"
"ASVp2_137","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","NA"
"ASVp2_138","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","NA"
"ASVp2_139","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","NA"
"ASVp2_140","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","NA"
"ASVp2_141","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","NA"
"ASVp2_142","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","NA"
"ASVp2_143","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","NA"
"ASVp2_144","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","NA"
"ASVp2_145","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","NA"
"ASVp2_146","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","NA"
"ASVp2_147","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","NA"
"ASVp2_148","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","NA"
"ASVp2_149","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","NA"
"ASVp2_150","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","NA"
"ASVp2_151","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","NA"
"ASVp2_152","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","NA"
"ASVp2_153","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","NA"
"ASVp2_154","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","NA"
"ASVp2_155","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","NA"
"ASVp2_156","Bacteria","Bacillota","Bacilli","NA","NA","NA","NA"
"ASVp2_157","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","NA"
"ASVp2_158","Bacteria","Bacillota","Bacilli","NA","NA","NA","NA"
"ASVp2_159","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","NA"
"ASVp2_160","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","NA"
"ASVp2_161","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","NA"
"ASVp3_1","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila"
"ASVp3_2","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","dorei"
"ASVp3_3","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii"
"ASVp3_4","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp3_5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp3_6","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli"
"ASVp3_7","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp3_8","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi"
"ASVp3_9","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASVp3_10","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp3_11","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis"
"ASVp3_12","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii"
"ASVp3_13","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi"
"ASVp3_14","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp3_15","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","dorei"
"ASVp3_16","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp3_17","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens"
"ASVp3_18","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Otoolea","symbiosa"
"ASVp3_19","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp3_20","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis"
"ASVp3_21","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASVp3_22","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","massiliensis"
"ASVp3_23","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Alitiscatomonas","sp900066535"
"ASVp3_24","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","merdae"
"ASVp3_25","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Ruminococcus_B","gnavus"
"ASVp3_26","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","longum"
"ASVp3_27","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis"
"ASVp3_28","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp3_29","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis"
"ASVp3_30","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","lenta"
"ASVp3_31","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp3_32","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","porci"
"ASVp3_33","Bacteria","Bacillota_I","Bacilli_A","Erysipelotrichales","Erysipelotrichaceae","Holdemania","filiformis"
"ASVp3_34","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","fermentum"
"ASVp3_35","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp3_36","Bacteria","Bacillota_A","Clostridia","Clostridiales","Clostridiaceae","Sarcina","perfringens"
"ASVp3_37","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","S5_Bg_092)"
"ASVp3_38","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","longum"
"ASVp3_39","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","diarizonae/houtenae/enterica"
"ASVp3_40","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii"
"ASVp3_41","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","CHH4-2","sp018378255"
"ASVp3_42","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii"
"ASVp3_43","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASVp3_44","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp3_45","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Alitiscatomonas","sp900066535"
"ASVp3_46","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","onderdonkii"
"ASVp3_47","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae"
"ASVp3_48","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Lawsonella","clevelandensis_A"
"ASVp3_49","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","wadsworthensis"
"ASVp3_50","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","sp005845215"
"ASVp3_51","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","faecis"
"ASVp3_52","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp3_53","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii"
"ASVp3_54","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis"
"ASVp3_55","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Acidovorax","facilis"
"ASVp3_56","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","dubosii"
"ASVp3_57","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","alcoholdehydrogenati"
"ASVp3_58","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","sp902362275/sp902472315"
"ASVp3_59","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","wadsworthensis"
"ASVp3_60","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASVp3_61","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii"
"ASVp3_62","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","rifense/centrolobii/sp023101685/sp900113735/sp015291645/sp030403585/guangzhouense/sp028128765/cytisi/manausense/diazoefficiens_F/manausense_D/sp015291665/sp029909975/diazoefficiens_C/sp000473045/sp029892425/diazoefficiens_D/manausense_A/sp000938255/sp024199945/zhengyangense/campsiandrae/sp900115265/guangdongense"
"ASVp3_63","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis"
"ASVp3_64","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii"
"ASVp3_65","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","epidermidis"
"ASVp3_66","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","sp001556435"
"ASVp3_67","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli"
"ASVp3_68","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp3_69","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp3_70","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis"
"ASVp3_71","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","capitis"
"ASVp3_72","Bacteria","Bacillota","Bacilli","Bacillales_B","Domibacillaceae","Quasibacillus","thermotolerans"
"ASVp3_73","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli"
"ASVp3_74","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae"
"ASVp3_75","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","diarizonae/houtenae/enterica"
"ASVp3_76","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens"
"ASVp3_77","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","wadsworthensis"
"ASVp3_78","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","faecis"
"ASVp3_79","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Pseudoflavonifractor_A","sp022772585"
"ASVp3_80","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","hominis"
"ASVp3_81","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASVp3_82","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","hathewayi"
"ASVp3_83","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi"
"ASVp3_84","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","sp005845215"
"ASVp3_85","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli"
"ASVp3_86","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis"
"ASVp3_87","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp3_88","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","pseudocatenulatum"
"ASVp3_89","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","S5_Bg_092)"
"ASVp3_90","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","S5_Bg_092)"
"ASVp3_91","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Ruminococcus_B","gnavus"
"ASVp3_92","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis"
"ASVp3_93","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","hathewayi"
"ASVp3_94","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis"
"ASVp3_95","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Paucibacter_A","oligotrophus_A/sp001477625"
"ASVp3_96","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","fermentum"
"ASVp3_97","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","adolescentis"
"ASVp3_98","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","epidermidis"
"ASVp3_99","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi"
"ASVp3_100","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASVp3_101","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","S5_Bg_092)"
"ASVp3_102","Bacteria","Bacillota_A","Clostridia","Clostridiales","Clostridiaceae","Sarcina","perfringens"
"ASVp3_103","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp3_104","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","diarizonae/houtenae/enterica"
"ASVp3_105","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","merdae"
"ASVp3_106","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp3_107","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis"
"ASVp3_108","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Lawsonella","clevelandensis_A"
"ASVp3_109","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","gordoncarteri"
"ASVp3_110","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp3_111","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis"
"ASVp3_112","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","longum"
